 OriginalName,ShortName,Source,URI,Units,Definition
23-1_SexualMaturityAge_d,SexualMaturityAge,PanTHERIA,,days,"Age when individuals are first physically capable of reproducing, defined as either physically sexually mature, age at first mating or unspecified (males and females), age at first estrus or age at first pregnancy (females only), age at spermatogenesis or age at testes descent (males only), using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals, primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
10-2_SocialGrpSize,SocialGrpSize,PanTHERIA,,count,"Number of individuals, adults or definition unspecified in a group that spends the majority of their time in a 24 hour cycle together where there is some indication that these individuals form a social cohesive unit, measured over any duration of time, using non-captive populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
24-1_TeatNumber,TeatNumber,PanTHERIA,http://purl.obolibrary.org/obo/CMO_0000445,count,"The number of teats, protuberances on the mammary glands, breasts or udders of female mammals through which milk is excreted."
12-2_Terrestriality,Terrestriality,PanTHERIA,,-,"Degree of terrestriality of each species measured using any qualitative or quantitative time measure, for non-captive populations; adult or age unspecified individuals, male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities. Species were defined as (1) fossorial and/or ground dwelling only and (2) above ground dwelling."
6-2_TrophicLevel,TrophicLevel,PanTHERIA,http://www.wikidata.org/entity/Q1053008,-,"Position of an organism in a food web. May be described verbally with descriptors including primary producer, herbivore or carnivore. If described numerically, 1 indicates a primary producer, 2 a herbivore, and so on up the food web."
25-1_WeaningAge_d,WeaningAge,PanTHERIA,http://eol.org/schema/terms/WeaningAge,days,"Age when primary nutritional dependency on the mother ends and independent foraging begins to make a major contribution to the offspring’s energy requirements."
5-4_WeaningBodyMass_g,WeaningBodyMass,PanTHERIA,,grams,"Mass of live or freshly-killed specimens of weanlings, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
13-3_WeaningHeadBodyLen_mm,WeaningHeadBodyLen,PanTHERIA,,milimeters,"Total length from tip of nose to anus or base of tail of live, freshly-killed, or museum specimens of weanlings, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
,,,,,
Diet,Diet,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#diet,-,"What kind of food the animal eats. Species were defined as (1) frugivores, (2) granivores, (3) nectivores, (4) folivores, (5) lignivores or (6) multiple kinds."
AVGFoodConsumption,AVGFoodConsumption,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#avgfoodconsumption,kilograms,The average amount of food the species eats in a day.
Sociality,Sociality,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#sociality,-,The degree to which the species tend to associate in social groups. Species were defined as (1) solitary or (2) in a group.
SocialHierarchy,SocialHierarchy,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#socialhierarchy,-,Whether there is a social hierarchy or not. They were defined as (1) social hierarchy or (2) no social hierarchy.
NumMales,NumMales,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#nummales,-,"The number of mature males in a group of species. There could be (1) multiple males per social group, (2) one male per social group, (3) no males per social group/males live separately or (4) there is no social group/the species lives solitary."
MaturityreachMale,MaturityReachMale,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#maturityreachmale,months,The months needed for a male animal of the species to reach sexual maturity.
MaturityreachFemale,MaturityReachFemale,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#maturityreachfemale,months,The months needed for a female animal of the species to reach sexual maturity.
MatingSystem,MatingSystem,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#matingsystem,-,"The way the species group is structured in relation to sexual behaviour. The species' mating systems were defined as (1) monogamy, (2) polyandry, (3) polygyny and (4) polygynandry."
NumOffspring,NumOffspring,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#numoffspring,count,The average amount of offspring per pregnancy.
BreedingInterval,BreedingInterval,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#breedinginterval,days,Average number of days between two gestation periods.
YearRoundBreeding,YearRoundBreeding,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#yearroundbreeding,-,Whether the species breeds (1) all year round or (2) seasonal.
AVGWeight,AVGWeight,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#avgweight,kilograms,The amount of kilograms the mature species weighs on average.
ParentalCare,ParentalCare,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#parentalcare,-,Whether the parents care for and rear the offspring or not. The species were defined as (1) parents care for offspring and (2) parents don't care for offspring.
DevelopmentStrategy,DevelopmentStrategy,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#developmentstrategy,,"Whether the offspring needs the help of the parents to survive, or they can do it by themselves. The species were defined as (1) precocial or (2) altricial."
Horns/Antler,Horns/Antler,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#hornsantlers,-,"Whether (1) only the male mature species has horns/antlers, (2) only the female mature species has horns/antlers (3) both male and female mature species have horns/antlers or (4) both male and female species don't have horns/antlers."
Lifespan,Lifespan,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#lifespan,years,The average number of years the species lives.
NaturalPredators,NaturalPredators,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#naturalpredators,-,"Whether the species has natural predators in their natural habitat (not counting humans). They were defined as (1) having less than 3 natural predators (including 3), (2) having more than 3 natural predators or (3) not having natural predators."
Motility,Motility,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#motility,-,"Ability to move spontaneously and actively, using metabolic energy. The species were defined as (1) actively mobile, (2) facultatively mobile or (3) fast moving."
CarryWeight,CarryWeight,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#carryweight,grams,The average number of grams a mature species can carry. (For the purposes of this paper it is measured as 20% of the mature animal's body weight)
PullStrength,PullStrength,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#pullstrength,grams,"The amount of grams a mature species can pull. (Same as carry weight, 20% of the mature animal's body weight)"
AVGMovingSpeed,AVGMovingSpeed,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#avgmovingspeed,km/h,The average amount of kilometers per hour a mature species can run. Top speed is used instead when information about the average moving speed cannot be found.
AVGTravelDistance,AVGTravelDistance,https://github.com/naturalis/trait-organismal-ungulates/tree/master/terms/terms.md,https://github.com/naturalis/trait-organismal-ungulates/blob/master/terms/terms.md#avgtraveldistance,kilometers,The average amount of kilometers a mature species can walk/run per day. The size of the home range is used when information about the average travel distance cannot be found.
