ID_EoL,BinomialName,Order,Family,Genus,Species,Domestication,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,Diet,GestationPeriod,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGWeight,ParentalCare,DevelopmentStrategy,Horns/Antler,Topspeed,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
308533,Beatragus_hunteri,Artiodactyla,Bovidae,Beatragus,hunteri,,-999.00,79132.17,-999.00,1600.00,-999.00,-999.00,-999.00,-999.00,1.00,-999.00,252.28,1.00,-999.00,-999.00,-999.00,1.00,-999.00,182.04,8350.00,-999.00,0.42,-999.00,-999.00,13.50,2,1.00,1,-999.00,-999.00,-999.00,4,228.1252,,2,1,,42.0000,30.0000,3,1,NA,2,NA,NA,2,,,24,,1,,,,
328109,Bison_bison,Artiodactyla,Bovidae,Bison,bison,,2.00,624577.07,-999.00,2849.24,-999.00,1095.00,-999.00,-999.00,2.00,-999.00,283.17,2.00,47.39,65.71,399.00,0.98,1.00,396.00,20000.00,-999.00,0.28,1000.00,921.77,30.00,-999,1.00,1,287.32,157500.00,-999.00,4,285 ,,2,1,,36.0000,30.0000,3,0.98,452,2,630,2,1,,,25,,1,,,,
328110,Bison_bonasus,Artiodactyla,Bovidae,Bison,bonasus,,2.00,675876.70,-999.00,2900.00,-999.00,1068.38,-999.00,-999.00,2.00,-999.00,265.99,2.00,7.91,7.42,638.75,1.00,1.00,324.00,23358.61,-999.00,0.88,-999.00,841.82,35.00,-999,1.00,1,287.32,-999.00,-999.00,4,265.5,,2,1,,24.0000,36.0000,3,1,641,2,610,2,1,,,27,,1,,,,
308478,Blastocerus_dichotomus,Artiodactyla,Cervidae,Blastocerus,dichotomus,,2.00,112518.53,-999.00,1720.00,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,272.37,1.00,-999.00,-999.00,-999.00,0.98,1.00,-999.00,4199.99,-999.00,0.12,-999.00,-999.00,3.00,-999,1.00,1,-999.00,-999.00,-999.00,NA,270 ,,NA,2,,NA,NA,NA,0.98,NA,NA,102,2,NA,,,NA,,1,,,,
311908,Boselaphus_tragocamelus,Artiodactyla,Bovidae,Boselaphus,tragocamelus,,-999.00,182253.04,-999.00,2000.00,-999.00,912.50,-999.00,-999.00,5.00,-999.00,248.49,-999.00,-999.00,-999.00,400.50,1.39,-999.00,260.40,5875.00,-999.00,2.39,-999.00,-999.00,-999.00,-999,-999.00,1,-999.00,-999.00,-999.00,NA,256.5648,,2,2,,NA,26.7945,NA,1.39,365,NA,180,2,2,,,21,,1,,,,
328705,Bos_frontalis,Artiodactyla,Bovidae,Bos,frontalis,,2.00,800143.05,-999.00,2700.00,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,273.75,-999.00,-999.00,-999.00,403.02,1.22,1.00,314.40,22977.05,-999.00,0.54,-999.00,610.97,40.00,-999,-999.00,1,186.67,-999.00,-999.00,NA,301.1253,,2,1,,18.0822,19.3972,NA,1.22,634,NA,825,NA,2,,,26,,NA,,,,
328700,Bos_grunniens,Artiodactyla,Bovidae,Bos,grunniens,,-999.00,500000.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,2.00,-999.00,273.75,-999.00,-999.00,-999.00,-999.00,1.00,1.00,267.00,-999.00,-999.00,-999.00,-999.00,755.15,110.00,-999,-999.00,1,243.33,-999.00,-999.00,4,283.7878,,2,1,,84.0000,84.0000,3,1,NA,2,667,2,2,,,25,,1,,,,
1037711,Bos_javanicus,Artiodactyla,Bovidae,Bos,javanicus,,2.00,635974.34,-999.00,2075.00,-999.00,912.50,-999.00,-999.00,2.00,-999.00,296.78,1.00,-999.00,-999.00,-999.00,1.22,1.00,318.96,-999.00,-999.00,0.75,21.00,797.31,40.00,-999,1.00,1,287.74,-999.00,-999.00,4,288.9586,,2,1,,30.0000,30.0000,3,1.22,NA,2,700,2,2,,,26,,1,,,,
328706,Bos_sauveli,Artiodactyla,Bovidae,Bos,sauveli,,2.00,791321.76,-999.00,2175.00,-999.00,-999.00,-999.00,-999.00,2.00,-999.00,-999.00,1.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,755.15,20.00,-999,1.00,1,-999.00,-999.00,-999.00,4,258.5419,,2,1,,NA,NA,NA,1,NA,2,800,2,NA,,,NA,,1,,,,
328699,Bos_taurus,Artiodactyla,Bovidae,Bos,taurus,,-999.00,618642.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,280.48,-999.00,10.04,-999.00,-999.00,-999.00,1.00,240.00,-999.00,-999.00,-999.00,-999.00,755.15,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,4,273.7503,,2,1,,12.0000,12.0000,3,1,NA,1,750,NA,2,,,26,,1,,,,
